"source","target","flow","weight"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/plus?ck_element=header_image","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/81560056566184-salat-im-glas-praktisch-und-lecker","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/669814998-spaghetti-in-schinken-sahne-sauce-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/185900961701150-aprikosenkuchen-und-co-saftiges-gebaeck-mit-aprikosen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/inspiration/gesunde-ernaehrung","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/198386131511788-wir-suchen-eure-liebsten-urlaubsrezepte","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/665091590-der-kohlrabi-deutsche-knolle-mit-frischem-aroma-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/178907094517281-chefkoch-nachrichten-service","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/624209231-die-besten-nudelsalate-vielfalt-pur-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://plus.chefkoch.de/rezept-import/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://listening.sslsurvey.de/C360S-chefkoch/?WEBSITE=1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/was-koche-ich-heute/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/was-backe-ich-heute/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://kochkurse.chefkoch.de/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezeptsammlungen/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezeptempfehlungen/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/1687021276962431/Russische-Sommersuppe.html","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/1469461251728268/Toeginger-Kaesepfannkuchen.html","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/461681139252228/Schnelle-Pasta-mit-Karotten-Ingwer-und-Pinienkernen.html","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/68865953156104-highlights-der-redaktion","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/151327089587967-palatschinken-einfaches-grundrezept-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/201220340986530-die-leckersten-pesto-rezepte-jenseits-von-pasta-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/203293753717500-joghurt-muffins-heidelbeeren","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/202591504527766-lauch-haehnchen-pasta-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/148094549499794-haehnchenpfanne-mit-zucchini-und-zuckerschoten","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/201547813096546-general-tsos-chicken-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/202977209516236-pflanzliche-lebensmittel-mit-ueberraschend-viel-protein","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/196176537892322-pasta-alla-genovese-3","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/196190633850443-medisterkaker-norwegische-frikadellen-3","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/186244654935934-blaetterteigschnecken-mit-lachs-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/185209554369299-zarangollo-murciano-2","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/181742070137589-insalata-di-fagioli-e-tonno-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/82291710895776-kalte-suppen-gazpacho-co-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/689901770-gesunde-snacks-fuer-kinder","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/642619426-pommes-selber-machen-mit-ofen-topf-fritteuse-1","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/61712948217921-afrikanisches-haehnchen-mit-reis","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612938993-alltagskueche","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612951341-saisonkueche","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612957051-vegetarisch-und-vegan","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612949438-internationale-kueche","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612938991-backen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612955611-ernaehrung","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612956235-outdoor-grillen-kueche","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/528517922-das-perfekte-dinner","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612957128-kochvideos","INTERNAL_LINK","1"
