"page","incoming_links","outgoing_links","hub_score"
"https://www.chefkoch.de/rs/s0/tomatensuppe/Rezepte.html","1",,"1"
"https://www.chefkoch.de/magazin/inspiration/heissluftfritteuse","1",,"1"
"https://www.chefkoch.de/magazin/inspiration/high-protein-themenwelt","1",,"1"
"https://www.chefkoch.de/magazin/inspiration/essen-waehrend-und-nach-einer-krebserkrankung","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/top-gespeicherte-rezepte-von-gestern/Top-Rezepte-von-gestern.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlungen/s/ob4o0fteditorial/","1",,"1"
"https://www.chefkoch.de/magazin/inspiration/nachhaltigkeit-mit-chefkoch","1",,"1"
"https://www.chefkoch.de/magazin/inspiration/chefkoch-trifft-fackelmann","1",,"1"
"https://www.chefkoch.de/magazin/artikel/642619426-pommes-selber-machen-mit-ofen-topf-fritteuse-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/689901770-gesunde-snacks-fuer-kinder","1",,"1"
"https://www.chefkoch.de/magazin/artikel/82291710895776-kalte-suppen-gazpacho-co-1","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/612956235-outdoor-grillen-kueche","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/612951341-saisonkueche","1",,"1"
"https://www.chefkoch.de/magazin/artikel/61712948217921-afrikanisches-haehnchen-mit-reis","1",,"1"
"https://www.chefkoch.de/rezepte/4370711744365634/Herzhafte-Spaghetti-Bolognese.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/195117128866318/Lieblingsrezepte-mit-Bohnen.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/197709245367776/PLUS-Lieblingsrezepte-mit-Urlaubsgefuehl.html","1",,"1"
"https://www.chefkoch.de/rezepte/3432961511438145/Cheese-Burger-Muffins.html","1",,"1"
"https://www.chefkoch.de/rezepte/4356071737467418/Gyros-Spaetzle-Auflauf.html","1",,"1"
"https://www.chefkoch.de/rezepte/4369711744020189/Crispy-Gnocchi-aus-dem-Airfryer.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/196523176879870/Sommerhaeppchen-aus-dem-Ofen.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/196577740000315/Loeffelweise-Leichtigkeit.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/198361591226935/Jetzt-ist-Pflaumen-und-Zwetschgenzeit.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/197649430785895/Sommerkueche-fuer-jeden-Tag.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/195156541113992/Reisgenuss.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/190598847358272/Meal-Prep-Rezepte-fuer-Baukasten-Koeche.html","1",,"1"
"https://www.chefkoch.de/rezeptsammlung/196552253689749/Suesse-Gruesse-aus-Italien.html","1",,"1"
