id,path,name,mimeType,size,modifiedTime
1Eit51af8HdK4K5LTqtyfan0JBuv5YAli,ROOT/docs/project/05_GITHUB_STRUCTURE.md,05_GITHUB_STRUCTURE.md,text/markdown,37,2026-07-04T08:20:31.547Z
1R9dDtoSQabF89qnKKXQjj08oZoYPyQds,ROOT/docs/project/04_DRIVE_STRUCTURE.md,04_DRIVE_STRUCTURE.md,text/markdown,36,2026-07-04T08:20:31.499Z
1Fmh6GSfRzo6NjpT8x1HWfB9fMVm6ZqjO,ROOT/docs/project/03_ARCHITECTURE.md,03_ARCHITECTURE.md,text/markdown,33,2026-07-04T08:20:31.444Z
14Ib2hI0jArcv3OCoQsV8XtEfsbzsYjq0,ROOT/docs/project/02_MASTER_RULES.md,02_MASTER_RULES.md,text/markdown,33,2026-07-04T08:20:31.386Z
1sLSTZIMIWB524MSlOXHMurJ8wUdadDHC,ROOT/docs/project/01_VISION.md,01_VISION.md,text/markdown,27,2026-07-04T08:20:31.344Z
1sL7WohdCkP7XAr4FYDVm_vibf72tToxp,ROOT/docs/project/00_PROJECT_MEMORY.md,00_PROJECT_MEMORY.md,text/markdown,35,2026-07-04T08:20:31.301Z
1qP_eZkhrTCBS50xuUlVKMxIGTZqwUNw8,ROOT/core,core,application/vnd.google-apps.folder,,2026-07-03T23:53:11.019Z
1evHUfhntXBw0HCoht0G4zfcI65D9TVyT,ROOT/temp,temp,application/vnd.google-apps.folder,,2026-07-03T23:12:08.602Z
1lTC_infRDyvcU11CFuLQKh4-1mLkS0Hf,ROOT/_QUARANTINE_REVIEW,_QUARANTINE_REVIEW,application/vnd.google-apps.folder,,2026-07-03T23:12:08.597Z
1puwgvxDhnxlI17ekmuafgThraaB7KMhZ,ROOT/_QUARANTINE_REVIEW/duplicate_repo,duplicate_repo,application/vnd.google-apps.folder,,2026-07-04T01:20:36.077Z
18NWWOh4Sw5AMmZsyvSbI6z5okjpHlYWT,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system,ai-marketing-system,application/vnd.google-apps.folder,,2026-07-03T23:28:33.662Z
